MODEL,PRODUCT NAME,DESCRIPTION/KEY FEATURES,PRODUCT CATEGORY,"PRODUCT WIDTH
(mm)","PRODUCT DEPTH
(mm)","PRODUCT HEIGHT
(mm)","PACKED
WEIGHT
(kg's)","PACKED
VOLUME
(m³)","PRODUCT
CAPACITY","POWER
DELIVERY",BRAND,IMAGES,CAD DRAWING,"PRODUCT
ORIGIN",BROCHURE,WARRANTY,"RRP
(ex GST)",ACCESSORIES,"RELATED
MODELS",product order,
E23,"Roband Straight Glass Hot Food Display Bar, 6 pans double row","Double row hot food display bar, stainless steel construction with tubular frames, energy regulator control, Dura life stainless steel elements, wet or dry operation, easy to clean, overhead heating and illumination, safety lock ball valve drain, removable cross bars & thermometer. Comes with 6 x 1/2 size 65mm pans.27lt","Benchtop > Bain Maries, Benchtop",1030,615,675,58,0.754,27lt,2300w,ROBAND,E23 Straight Double Row Hot Food bar with various pans,E23 - V5.DWG,Australia,Roband Catalogue July2018.pdf,12 months," $1,801.00 ","Z12100
TR23
E-SNZ23
ET23
ETP23",E23RD,163,
E23RD,"Roband Straight Glass Hot Food Display Bar, 6 pans double row with roller doors","Double row hot food display bar, roller doors on control side, stainless steel construction with tubular frames, energy regulator control, Dura life stainless steel elements, wet or dry operation, easy to clean, overhead heating and illumination, safety lock ball valve drain, removable cross bars & thermometer. Comes with 6 x 1/2 size 65mm pans.27lt","Benchtop > Bain Maries, Benchtop",1030,615,675,64,0.754,27lt,2300w,ROBAND,0,,Australia,Roband Catalogue July2018.pdf,12 months," $2,011.00 ","Z12100
TR23
E-SNZ23
ET23
ETP23",E24RD,164,
E24,"Roband Straight Glass Hot Food Display Bar, 8 pans double row","Double row hot food display bar, stainless steel construction with tubular frames, energy regulator control, Dura life stainless steel elements, wet or dry operation, easy to clean, overhead heating and illumination, safety lock ball valve drain, removable cross bars & thermometer. Comes with 8 x 1/2 size 65mm pans.36lt","Benchtop > Bain Maries, Benchtop",1355,615,675,73,0.970,36lt,3200w,ROBAND,"E24 Straight Double Row Hot Food Bar with various pans.jpg

E24 Hot with E-SNZ24 and TR24 TrayRace.jpg",E24 - V5.DWG,Australia,Roband Catalogue July2018.pdf,12 months," $1,988.00 ","Z12100
E-SNZ24
TR24
Z12065
ET24
ETP24",E24RD,165,
E24RD,"Roband Straight Glass Hot Food Display Bar, 8 pans double row with roller doors","Double row hot food display bar, roller doors on control side, stainless steel construction with tubular frames, energy regulator control, Dura life stainless steel elements, wet or dry operation, easy to clean, overhead heating and illumination, safety lock ball valve drain, removable cross bars & thermometer. Comes with 8 x 1/2 size 65mm pans.36lt","Benchtop > Bain Maries, Benchtop",1355,615,675,79,0.970,36lt,3200w,ROBAND,0,,Australia,Roband Catalogue July2018.pdf,12 months," $2,213.00 ","Z12100
E-SNZ24
TR24
Z12065
ET24
ETP24",E25RD,166,
E25,"Roband Straight Glass Hot Food Display Bar, 10 pans double row","Double row hot food display bar, stainless steel construction with tubular frames, energy regulator control, Dura life stainless steel elements, wet or dry operation, easy to clean, overhead heating and illumination, safety lock ball valve drain, removable cross bars & thermometer. Comes with 10 x 1/2 size 65mm pans.45lt","Benchtop > Bain Maries, Benchtop",1680,615,675,86,1.199,45lt,3450w,ROBAND,E25 Straight Double Row Hot Food Bar with various pans.jpg,E25 - V5.DWG,Australia,Roband Catalogue July2018.pdf,12 months," $2,185.00 ","Z12100
E-SNZ25
TR25
ET25
ETP25",E25RD,167,
E25RD,"Roband Straight Glass Hot Food Display Bar, 10 pans double row with roller door","Double row hot food display bar, roller doors on control side, stainless steel construction with tubular frames, energy regulator control, Dura life stainless steel elements, wet or dry operation, easy to clean, overhead heating and illumination, safety lock ball valve drain, removable cross bars & thermometer. Comes with 10 x 1/2 size 65mm pans.45lt","Benchtop > Bain Maries, Benchtop",1680,615,675,90,1.199,45lt,3450w,ROBAND,0,,Australia,Roband Catalogue July2018.pdf,12 months," $2,424.00 ","Z12100
E-SNZ25
TR25
ET25
ETP25",E26RD,168,
E26,"Roband Straight Glass Hot Food Display Bar, 12 pans double row","Double row hot food display bar, stainless steel construction with tubular frames, energy regulator control, Dura life stainless steel elements, wet or dry operation, easy to clean, overhead heating and illumination, safety lock ball valve drain, removable cross bars & thermometer. Comes with 12 x 1/2 size 65mm pans.54lt","Benchtop > Bain Maries, Benchtop",2005,615,675,99,1.407,54lt,3450w,ROBAND,E26 Straight Double Row Hot Food Bar with various pans.jpg,E26 - V5.DWG,Australia,Roband Catalogue July2018.pdf,12 months," $2,345.00 ","Z12100
E-SNZ26
TR26
ET26
ETP26",E26RD,169,
E26RD,"Roband Straight Glass Hot Food Display Bar, 12 pans double row with roller door","Double row hot food display bar, roller doors on control side, stainless steel construction with tubular frames, energy regulator control, Dura life stainless steel elements, wet or dry operation, easy to clean, overhead heating and illumination, safety lock ball valve drain, removable cross bars & thermometer. Comes with 12 x 1/2 size 65mm pans.54lt","Benchtop > Bain Maries, Benchtop",2005,615,675,103,1.407,54lt,3450w,ROBAND,0,,Australia,Roband Catalogue July2018.pdf,12 months," $2,602.00 ","Z12100
E-SNZ26
TR26
ET26
ETP26",E25RD,170,
C22,"Roband Curved Glass Hot Food Display Bar, 4 pans double row ","Double row hot food display bar, stainless steel construction with tubular frames, energy regulator control, Dura life stainless steel elements, wet or dry operation, easy to clean, overhead heating and illumination, safety lock ball valve drain, removable cross bars & thermometer. Comes with 4 x 1/2 size 65mm pans.18lt","Benchtop > Bain Maries, Benchtop",700,615,750,51,0.590,18lt,1450w,ROBAND,0,C22 - V4.DWG,Australia,Roband Catalogue July2018.pdf,12 months," $2,532.00 ","Z12100
CS-SNZ22
TR22
ET22
ETP22",C22RD,171,
C22RD,"Roband Curved Glass Hot Food Display Bar, 4 pans double row with roller doors","Double row hot food display bar, roller doors on control side, stainless steel construction with tubular frames, energy regulator control, Dura life stainless steel elements, wet or dry operation, easy to clean, overhead heating and illumination, safety lock ball valve drain, removable cross bars & thermometer. Comes with 4 x 1/2 size 65mm pans.18lt","Benchtop > Bain Maries, Benchtop",700,615,750,57,0.590,18lt,1450w,ROBAND,0,,Australia,Roband Catalogue July2018.pdf,12 months," $2,694.00 ","Z12100
CS-SNZ22
TR22
ET22
ETP22",C23RD,172,
C23,"Roband Curved Glass Hot Food Display Bar, 6 pans double row ","Double row hot food display bar, stainless steel construction with tubular frames, energy regulator control, Dura life stainless steel elements, wet or dry operation, easy to clean, overhead heating and illumination, safety lock ball valve drain, removable cross bars & thermometer. Comes with 6 x 1/2 size 65mm pans.27lt","Benchtop > Bain Maries, Benchtop",1030,615,750,67,0.796,27lt,2300w,ROBAND,0,C23 - V4.DWG,Australia,Roband Catalogue July2018.pdf,12 months," $2,926.00 ","Z12100
CS-SNZ23
TR23
Z12065
ET23
ETP23","C23RD
S23",173,
C23RD,"Roband Curved Glass Hot Food Display Bar, 6 pans double row with roller doors","Double row hot food display bar, roller doors on control side, stainless steel construction with tubular frames, energy regulator control, Dura life stainless steel elements, wet or dry operation, easy to clean, overhead heating and illumination, safety lock ball valve drain, removable cross bars & thermometer. Comes with 6 x 1/2 size 65mm pans.27lt","Benchtop > Bain Maries, Benchtop",1030,615,750,74,0.796,27lt,2300w,ROBAND,0,,Australia,Roband Catalogue July2018.pdf,12 months," $3,130.00 ","Z12100
CS-SNZ23
TR23
Z12065
ET23
ETP23","C24RD
S23RD",174,
C24,"Roband Curved Glass Hot Food Display Bar, 8 pans double row ","Double row hot food display bar, stainless steel construction with tubular frames, energy regulator control, Dura life stainless steel elements, wet or dry operation, easy to clean, overhead heating and illumination, safety lock ball valve drain, removable cross bars & thermometer. Comes with 8 x 1/2 size 65mm pans.36lt","Benchtop > Bain Maries, Benchtop",1355,615,750,85,1.023,36lt,3200w,ROBAND,C24 Curved Hot Food Bar.jpg,C24 - V4.DWG,Australia,Roband Catalogue July2018.pdf,12 months," $3,276.00 ","Z12100
CS-SNZ24
TR24
Z12065
ET24
ETP24","C24RD
S24",175,
C24RD,"Roband Curved Glass Hot Food Display Bar, 8 pans double row with roller doors","Double row hot food display bar, roller doors on control side, stainless steel construction with tubular frames, energy regulator control, Dura life stainless steel elements, wet or dry operation, easy to clean, overhead heating and illumination, safety lock ball valve drain, removable cross bars & thermometer. Comes with 8 x 1/2 size 65mm pans.36lt","Benchtop > Bain Maries, Benchtop",1355,615,750,93,1.023,36lt,3200w,ROBAND,0,,Australia,Roband Catalogue July2018.pdf,12 months," $3,488.00 ","Z12100
CS-SNZ24
TR24
Z12065
ET24
ETP24","C25RD
S24RD",176,
C25,"Roband Curved Glass Hot Food Display Bar, 10 pans double row ","Double row hot food display bar, stainless steel construction with tubular frames, energy regulator control, Dura life stainless steel elements, wet or dry operation, easy to clean, overhead heating and illumination, safety lock ball valve drain, removable cross bars & thermometer. Comes with 10 x 1/2 size 65mm pans.45lt","Benchtop > Bain Maries, Benchtop",1680,615,750,101,1.265,45lt,3450w,ROBAND,0,C25 - V4.DWG,Australia,Roband Catalogue July2018.pdf,12 months," $3,631.00 ","Z12100
CS-SNZ25
TR25
Z12065
ET25
ETP25","C25RD
S25",177,
C25RD,"Roband Curved Glass Hot Food Display Bar, 10 pans double row with roller doors","Double row hot food display bar, roller doors on control side, stainless steel construction with tubular frames, energy regulator control, Dura life stainless steel elements, wet or dry operation, easy to clean, overhead heating and illumination, safety lock ball valve drain, removable cross bars & thermometer. Comes with 10 x 1/2 size 65mm pans.45lt","Benchtop > Bain Maries, Benchtop",1680,615,750,111,1.265,45lt,3450w,ROBAND,0,,Australia,Roband Catalogue July2018.pdf,12 months," $3,866.00 ","Z12100
CS-SNZ25
TR25
Z12065
ET25
ETP25","C24RD
S25RD",178,
S22,"Roband Square Glass Hot Food Display Bar, 4 pans double row ","Double row hot food display bar, stainless steel construction with tubular frames, energy regulator control, Dura life stainless steel elements, wet or dry operation, easy to clean, overhead heating and illumination, safety lock ball valve drain, removable cross bars & thermometer. Comes with 4 x 1/2 size 65mm pans.18lt","Benchtop > Bain Maries, Benchtop",700,615,750,57,0.590,18lt,1450w,ROBAND,0,S22 - V4.DWG,Australia,Roband Catalogue July2018.pdf,12 months," $2,474.00 ","Z12100
CS-SNZ22
TR22
ET22
ETP22","S22RD
C22",179,
S22RD,"Roband Square Glass Hot Food Display Bar, 4 pans double row with roller doors","Double row hot food display bars, roller doors on control side, stainless steel construction with tubular frames, energy regulator control, Dura life stainless steel elements, wet or dry operation, easy to clean, overhead heating and illumination, safety lock ball valve drain, removable cross bars & thermometer. Comes with 4 x 1/2 size 65mm pans.18lt","Benchtop > Bain Maries, Benchtop",700,615,750,63,0.590,18lt,1450w,ROBAND,0,,Australia,Roband Catalogue July2018.pdf,12 months," $2,634.00 ","Z12100
CS-SNZ22
TR22
ET22
ETP22","S23RD
C22RD",180,
S23,"Roband Square Glass Hot Food Display Bar, 6 pans double row ","Double row hot food display bar, stainless steel construction with tubular frames, energy regulator control, Dura life stainless steel elements, wet or dry operation, easy to clean, overhead heating and illumination, safety lock ball valve drain, removable cross bars & thermometer. Comes with 6 x 1/2 size 65mm pans.27lt","Benchtop > Bain Maries, Benchtop",1030,615,750,76,0.796,27lt,2300w,ROBAND,0,S23 - V4.DWG,Australia,Roband Catalogue July2018.pdf,12 months," $2,744.00 ","Z12100
CS-SNZ23
TR23
Z12065
ET23
ETP23","S23RD
C23",181,
S23RD,"Roband Square Glass Hot Food Display Bar, 6 pans double row with roller doors","Double row hot food display bar, roller doors on control side, stainless steel construction with tubular frames, energy regulator control, Dura life stainless steel elements, wet or dry operation, easy to clean, overhead heating and illumination, safety lock ball valve drain, removable cross bars & thermometer. Comes with 6 x 1/2 size 65mm pans.27lt","Benchtop > Bain Maries, Benchtop",1030,615,750,82,0.796,27lt,2300w,ROBAND,0,,Australia,Roband Catalogue July2018.pdf,12 months," $2,985.00 ","Z12100
CS-SNZ23
TR23
Z12065
ET23
ETP23","S24RD
C23RD",182,
S24,"Roband Square Glass Hot Food Display Bar, 8 pans double row ","Double row hot food display bar, stainless steel construction with tubular frames, energy regulator control, Dura life stainless steel elements, wet or dry operation, easy to clean, overhead heating and illumination, safety lock ball valve drain, removable cross bars & thermometer. Comes with 8 x 1/2 size 65mm pans.36lt","Benchtop > Bain Maries, Benchtop",1355,615,750,84,1.023,36lt,3200w,ROBAND,S24 Square Hot Food Bar.jpg,S24 - V4.DWG,Australia,Roband Catalogue July2018.pdf,12 months," $3,130.00 ","Z12100
CS-SNZ24
TR24
Z12065
ET24
ETP24","S24RD
C24",183,
S24RD,"Roband Square Glass Hot Food Display Bar, 8 pans double row with roller doors","Double row hot food display bar, roller doors on control side, stainless steel construction with tubular frames, energy regulator control, Dura life stainless steel elements, wet or dry operation, easy to clean, overhead heating and illumination, safety lock ball valve drain, removable cross bars & thermometer. Comes with 8 x 1/2 size 65mm pans.36lt","Benchtop > Bain Maries, Benchtop",1355,615,750,100,1.023,36lt,3200w,ROBAND,0,,Australia,Roband Catalogue July2018.pdf,12 months," $3,405.00 ","Z12100
CS-SNZ24
TR24
Z12065
ET24
ETP24","S25RD
C24RD",184,
S25,"Roband Square Glass Hot Food Display Bar, 10 pans double row ","Double row hot food display bar, stainless steel construction with tubular frames, energy regulator control, Dura life stainless steel elements, wet or dry operation, easy to clean, overhead heating and illumination, safety lock ball valve drain, removable cross bar & thermometer. Comes with 10 x 1/2 size 65mm pans.45lt","Benchtop > Bain Maries, Benchtop",1680,615,750,125,1.265,45lt,3450w,ROBAND,0,S25 - V4.DWG,Australia,Roband Catalogue July2018.pdf,12 months," $3,490.00 ","Z12100
CS-SNZ25
TR25
Z12065
ET25
ETP25","S25RD
C25",185,
S25RD,"Roband Square Glass Hot Food Display Bar, 10 pans double row with roller doors","Double row hot food display bar, roller doors on control side, stainless steel construction with tubular frames, energy regulator control, Dura life stainless steel elements, wet or dry operation, easy to clean, overhead heating and illumination, safety lock ball valve drain, removable cross bar & thermometer. Comes with 10 x 1/2 size 65mm pans.45lt","Benchtop > Bain Maries, Benchtop",1680,615,750,133,1.265,45lt,3450w,ROBAND,0,,Australia,Roband Catalogue July2018.pdf,12 months," $3,791.00 ","Z12100
CS-SNZ25
TR25
Z12065
ET25
ETP25","S26RD
C25RD",186,
S26,"Roband Square Glass Hot Food Display Bar, 12 pans double row ","Double row hot food display bar, stainless steel construction with tubular frames, energy regulator control, Dura life stainless steel elements, wet or dry operation, easy to clean, overhead heating and illumination, safety lock ball valve drain, removable cross bar & thermometer. Comes with 12 x 1/2 size 65mm pans.54lt","Benchtop > Bain Maries, Benchtop",2005,615,750,148,1.485,54lt,3450w,ROBAND,0,S26 - V4.DWG,Australia,Roband Catalogue July2018.pdf,12 months," $3,814.00 ","Z12100
CS-SNZ26
TR26
Z12065
ET26
ETP26",S26RD,187,
S26RD,"Roband Square Glass Hot Food Display Bar, 12 pans double row with roller doors","Double row hot food display bar, roller doors on control side, stainless steel construction with tubular frames, energy regulator control, Dura life stainless steel elements, wet or dry operation, easy to clean, overhead heating and illumination, safety lock ball valve drain, removable cross bar & thermometer. Comes with 12 x 1/2 size 65mm pans.54lt","Benchtop > Bain Maries, Benchtop",2005,615,750,160,1.485,54lt,3450w,ROBAND,0,,Australia,Roband Catalogue July2018.pdf,12 months," $4,127.00 ","Z12100
CS-SNZ26
TR26
Z12065
ET26
ETP26",,188,
ERX23RD,"Roband Straight Glass Refrigerated Display Bar, 6 pans","Straight glass cold food display bar, cold plate and cross fin coil cooling, designed to take a variety of gastronorm pans up to 65mm deep, stainless steel construction with tubular frame, runs on environmentally friendly R404A refrigerant, overhead fluorescent light, safety lock ball valve drain, removable cross bar, easy to clean, thermometer, rear roller doors. Comes with 6 x 1/2 size 65mm pans.27lt","Displays > Cold Food Displays, Displays",1030,615,675,109,1.044,27lt,530w,ROBAND,ERX23RD Straight Refrig Cross Fin Food Bar with various pans.jpg,,Australia,Roband Catalogue July2018.pdf,12 months," $6,630.00 ","Z12065
ET23
ETP23",CRX23RD,189,
ERX24RD,"Roband Straight Glass Refrigerated Display Bar, 8 pans","Straight glass cold food display bar, cold plate and cross fin coil cooling, designed to take a variety of gastronorm pans up to 65mm deep, stainless steel construction with tubular frame, runs on environmentally friendly R404A refrigerant, overhead fluorescent light, safety lock ball valve drain, removable cross bar, easy to clean, thermometer, rear roller doors. Comes with 8 x 1/2 size 65mm pans.36lt","Displays > Cold Food Displays, Displays",1355,615,675,137,1.343,36lt,625w,ROBAND,ERX24RD Straight Refrig Cross Fin Food Bar.jpg,,Australia,Roband Catalogue July2018.pdf,12 months," $6,976.00 ","Z12065
ET24
ETP24",CRX24RD,190,
ERX25RD,"Roband Straight Glass Refrigerated Display Bar, 10 pans","Straight glass cold food display bar, cold plate and cross fin coil cooling, designed to take a variety of gastronorm pans up to 65mm deep, stainless steel construction with tubular frame, runs on environmentally friendly R404A refrigerant, overhead fluorescent light, safety lock ball valve drain, removable cross bar, easy to clean, thermometer, rear roller doors. Comes with 10 x 1/2 size 65mm pans.45lt","Displays > Cold Food Displays, Displays",1680,615,675,171,1.660,45lt,815w,ROBAND,ERX25RD Straight Refrig Cross Fin Food Bar.jpg,,Australia,Roband Catalogue July2018.pdf,12 months," $7,335.00 ","Z12065
ET25
ETP25",CRX25RD,191,
ERX26RD,"Roband Straight Glass Refrigerated Display Bar, 12 pans","Straight glass cold food display bar, cold plate and cross fin coil cooling, designed to take a variety of gastronorm pans up to 65mm deep, stainless steel construction with tubular frame, runs on environmentally friendly R404A refrigerant, overhead fluorescent light, safety lock ball valve drain, removable cross bars, easy to clean, thermometer, rear roller doors. Comes with 12 x 1/2 size 65mm pans.54lt","Displays > Cold Food Displays, Displays",2005,615,675,196,1.949,54lt,815w,ROBAND,ERX26RD Straight Refrig Cross Fin Food Bar.jpg,,Australia,Roband Catalogue July2018.pdf,12 months," $8,042.00 ","Z12065
ET26
ETP26",SRX26RD,192,
EFX23RD,"Roband Straight Glass Refrigerated Display Bar - Piped and Foamed only (no motor), 6 pans","Straight glass cold food display bar, cold plate and cross fin coil cooling - piped and foamed only (NO MOTOR), designed to take a variety of gastronorm pans up to 65mm deep, stainless steel construction with tubular frame, runs on environmentally friendly R404A refrigerant, overhead fluorescent light, safety lock ball valve drain, removable cross bars, easy to clean, thermometer, rear roller doors. Comes with 6 x 1/2 size 65mm pans.27lt","Displays > Cold Food Displays, Displays",1030,615,675,84,1.044,27lt,30w,ROBAND,EFX23RD Straight Cross Fin Food Bar with various pans.jpg,,Australia,Roband Catalogue July2018.pdf,12 months," $3,893.00 ","Z12065
ET23
ETP23",CRX23RD,193,
EFX24RD,"Roband Straight Glass Refrigerated Display Bar - Piped and Foamed only (no motor), 8 pans","Straight glass cold food display bar, cold plate and cross fin coil cooling - piped and foamed only (NO MOTOR), designed to take a variety of gastronorm pans up to 65mm deep, stainless steel construction with tubular frame, runs on environmentally friendly R404A refrigerant, overhead fluorescent light, safety lock ball valve drain, removable cross bars, easy to clean, thermometer, rear roller doors. Comes with 8 x 1/2 size 65mm pans.36lt","Displays > Cold Food Displays, Displays",1355,615,675,115,1.343,36lt,45w,ROBAND,EFX24RD Straight Cross Fin Food Bar.jpg,,Australia,Roband Catalogue July2018.pdf,12 months," $4,300.00 ","Z12065
ET24
ETP24",CRX24RD,194,
EFX25RD,"Roband Straight Glass Refrigerated Display Bar - Piped and Foamed only (no motor), 10 pans","Straight glass cold food display bar, cold plate and cross fin coil cooling - piped and foamed only (NO MOTOR), designed to take a variety of gastronorm pans up to 65mm deep, stainless steel construction with tubular frame, runs on environmentally friendly R404A refrigerant, overhead fluorescent light, safety lock ball valve drain, removable cross bars, easy to clean, thermometer, rear roller doors. Comes with 10 x 1/2 size 65mm pans.45lt","Displays > Cold Food Displays, Displays",1680,615,675,146,1.660,45lt,45w,ROBAND,EFX25RD Straight Cross Fin Food Bar.jpg,,Australia,Roband Catalogue July2018.pdf,12 months," $4,623.00 ","Z12065
ET25
ETP25",CRX25RD,195,
EFX26RD,"Roband Straight Glass Refrigerated Display Bar - Piped and Foamed only (no motor), 12 pans","Straight glass cold food display bar, cold plate and cross fin coil cooling - piped and foamed only (NO MOTOR), designed to take a variety of gastronorm pans up to 65mm deep, stainless steel construction with tubular frame, runs on environmentally friendly R404A refrigerant, overhead fluorescent light, safety lock ball valve drain, removable cross bars, easy to clean, thermometer, rear roller doors. Comes with 12 x 1/2 size 65mm pans.54lt","Displays > Cold Food Displays, Displays",2005,615,675,170,1.949,54lt,45w,ROBAND,EFX26RD Straight Cross Fin Food Bar.jpg,,Australia,Roband Catalogue July2018.pdf,12 months," $5,056.00 ","Z12065
ET26
ETP26",SRX26RD,196,
CRX23RD,"Roband Curved Glass Refrigerated Display Bar, 6 pans","Curved glass cold food display bar, cold plate and cross fin coil cooling, designed to take a variety of gastronorm pans up to 65mm deep, stainless steel construction with tubular frame, runs on environmentally friendly R404A refrigerant, overhead fluorescent light, safety lock ball valve drain, removable cross bars, easy to clean, toughened safety glass front, rear roller doors. Comes with 6 x 1/2 size 65mm pans.27lt","Displays > Cold Food Displays, Displays",1030,615,750,109,1.119,27lt,530w,ROBAND,CRX23RD Curved Refrig Cross Fin Food bar with various pans.jpg,,Australia,Roband Catalogue July2018.pdf,12 months," $7,344.00 ","Z12065
ET23
ETP23",SRX23RD,197,
CRX24RD,"Roband Curved Glass Refrigerated Display Bar, 8 pans","Curved glass cold food display bar, cold plate and cross fin coil cooling, designed to take a variety of gastronorm pans up to 65mm deep, stainless steel construction with tubular frame, runs on environmentally friendly R404A refrigerant, overhead fluorescent light, safety lock ball valve drain, removable cross bars, easy to clean, toughened safety glass front, rear roller doors. Comes with 8 x 1/2 size 65mm pans.36lt","Displays > Cold Food Displays, Displays",1355,615,750,137,1.439,36lt,625w,ROBAND,CRX24RD Curved Refrig Cross Fin Food Bar.jpg,,Australia,Roband Catalogue July2018.pdf,12 months," $8,339.00 ","Z12065
ET24
ETP24",SRX24RD,198,
CRX25RD,"Roband Curved Glass Refrigerated Display Bar, 10 pans","Curved glass cold food display bar, cold plate & cross fin coil cooling, designed to take a variety of gastronorm pans up to 65mm deep, stainless steel construction with tubular frame, runs on environmentally friendly R404A refrigerant, overhead fluorescent light, safety lock ball valve drain, removable cross bars, easy to clean, toughened safety glass front, rear roller doors. Comes with 10x 1/2 size 65mm pans.45lt","Displays > Cold Food Displays, Displays",1680,615,750,167,1.778,45lt,815w,ROBAND,CRX25RD Curved Refrig Cross Fin Food bar with various pans.jpg,,Australia,Roband Catalogue July2018.pdf,12 months," $8,693.00 ","Z12065
ET25
ETP25",SRX25RD,199,
CFX23RD,"Roband Curved Glass Refrigerated Display Bar - Piped and Foamed only (no motor), 6 pans","Curved glass cold food display bar, cold plate and cross fin coil cooling - piped and foamed only (NO MOTOR), designed to take a variety of gastronorm pans up to 65mm deep, stainless steel construction with tubular frame, runs on environmentally friendly R404A refrigerant, overhead fluorescent light, safety lock ball valve drain, removable cross bars, easy to clean, toughened safety glass front, rear roller doors. Comes with 6 x 1/2 size 65mm pans.27lt","Displays > Cold Food Displays, Displays",1030,615,750,84,1.119,27lt,30w,ROBAND,CFX23RD Curved Cross Fin Food Bar with various pans.jpg,,Australia,Roband Catalogue July2018.pdf,12 months," $4,983.00 ","Z12065
ET23
ETP23",SRX23RD,200,
CFX24RD,"Roband Curved Glass Refrigerated Display Bar - Piped and Foamed only (no motor), 8 pans","Curved glass cold food display bar, cold plate and cross fin coil cooling - piped and foamed only (NO MOTOR), designed to take a variety of gastronorm pans up to 65mm deep, stainless steel construction with tubular frame, runs on environmentally friendly R404A refrigerant, overhead fluorescent light, safety lock ball valve drain, removable cross bars, easy to clean, toughened safety glass front, rear roller doors. Comes with 8 x 1/2 size 65mm pans.36lt","Displays > Cold Food Displays, Displays",1355,615,750,115,1.439,36lt,45w,ROBAND,CFX24RD Curved Cross Fin Food Bar.jpg,,Australia,Roband Catalogue July2018.pdf,12 months," $5,766.00 ","Z12065
ET24
ETP24",SRX24RD,201,
CFX25RD,"Roband Curved Glass Refrigerated Display Bar - Piped and Foamed only (no motor), 10 pans","Curved glass cold food display bar, cold plate and cross fin coil cooling - piped and foamed only (NO MOTOR), designed to take a variety of gastronorm pans up to 65mm deep, stainless steel construction with tubular frame, runs on environmentally friendly R404A refrigerant, overhead fluorescent light, safety lock ball valve drain, removable cross bars, easy to clean, toughened safety glass front, rear roller doors. Comes with 10x 1/2 size 65mm pans.45lt","Displays > Cold Food Displays, Displays",1680,615,750,146,1.778,45lt,45w,ROBAND,CFX25RD Curved Cross Fin Food bar with various pans.jpg,,Australia,Roband Catalogue July2018.pdf,12 months," $5,978.00 ","Z12065
ET25
ETP25",SRX25RD,202,
SRX23RD,"Roband Square Glass Refrigerated Display Bar, 6 pans","Square glass cold food display bar, cold plate and cross fin coil cooling, designed to take a variety of gastronorm pans up to 65mm deep, stainless steel construction with tubular frame, runs on environmentally friendly R404A refrigerant, overhead fluorescent light, safety lock ball valve drain, removable cross bars, easy to clean, toughened safety glass front, rear roller doors. Comes with 6 x 1/2 size 65mm pans.27lt","Displays > Cold Food Displays, Displays",1030,615,750,109,1.119,27lt,530w,ROBAND,SRX23RD Square Refrig Cross Fin Food Bar.jpg,,Australia,Roband Catalogue July2018.pdf,12 months," $7,226.00 ","Z12065
ET23
ETP23",CRX23RD,203,
SRX24RD,"Roband Square Glass Refrigerated Display Bar, 8 pans","Square glass cold food display bar, cold plate and cross fin coil cooling, designed to take a variety of gastronorm pans up to 65mm deep, stainless steel construction with tubular frame, runs on environmentally friendly R404A refrigerant, overhead fluorescent light, safety lock ball valve drain, removable cross bars, easy to clean, toughened safety glass front, rear roller doors. Comes with 8 x 1/2 size 65mm pans.36lt","Displays > Cold Food Displays, Displays",1355,615,750,137,1.439,36lt,625w,ROBAND,SRX24RD Square Refrig Cross Fin Food Bar.jpg,,Australia,Roband Catalogue July2018.pdf,12 months," $7,953.00 ","Z12065
ET24
ETP24",CRX24RD,204,
SRX25RD,"Roband Square Glass Refrigerated Display Bar, 10 pans","Square glass cold food display bar, cold plate and cross fin coil cooling, designed to take a variety of gastronorm pans up to 65mm deep, stainless steel construction with tubular frame, runs on environmentally friendly R404A refrigerant, overhead fluorescent light, safety lock ball valve drain, removable cross bars, easy to clean, toughened safety glass front, rear roller doors. Comes with 10 x 1/2 size 65mm pans.45lt","Displays > Cold Food Displays, Displays",1680,615,750,171,1.778,45lt,815w,ROBAND,SRX25RD Square Refrig Cross Fin Food Bar with glass.jpg,,Australia,Roband Catalogue July2018.pdf,12 months," $8,511.00 ","Z12065
ET25
ETP25",CRX25RD,205,
SRX26RD,"Roband Square Glass Refrigerated Display Bar, 12 pans","Square glass cold food display bar, cold plate and cross fin coil cooling, designed to take a variety of gastronorm pans up to 65mm deep, stainless steel construction with tubular frame, runs on environmentally friendly R404A refrigerant, overhead fluorescent light, safety lock ball valve drain, removable cross bars, easy to clean, toughened safety glass front, rear roller doors. Comes with 12 x 1/2 size 65mm pans.54lt","Displays > Cold Food Displays, Displays",2005,615,750,196,2.088,54lt,815w,ROBAND,0,,Australia,Roband Catalogue July2018.pdf,12 months," $9,094.00 ","Z12065
ET26
ETP26",,206,
